pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,st_mass,st_masserr1,st_masserr2
HAT-P-3 b,2.8997,0.000054,-0.000054,0.03866,0.00041,-0.00041,1.06,0.28,-0.28
HAT-P-67 b,4.8101069,0.0000007,-0.00000068,0.06505,0.00273,-0.00079,1.73,0.1,-0.1
HAT-P-8 b,3.07634,0.000004,-0.000004,0.04496,0.00046,-0.00045,1.27,0.41,-0.41
HD 2039 b,1120.0,23.0,-23.0,2.2,0.06,-0.06,1.23,0.19,-0.19
HD 80653 b,0.71957926,0.00000042,-0.00000036,0.01657,0.0007,-0.00071,1.15,0.063,-0.069
K2-107 b,3.313959,0.000024,-0.000024,0.0475,0.0006,-0.0006,1.3,0.05,-0.05
K2-123 b,30.951524,0.003625,-0.00332,0.1649,0.0008,-0.0008,0.62,0.01,-0.01
K2-126 b,7.385655,0.000501,-0.000509,0.0656,0.0004,-0.0004,0.69,0.01,-0.01
K2-127 b,3.588163,0.000028,-0.000029,0.0411,0.0002,-0.0002,0.72,0.01,-0.01
K2-195 b,15.852975,0.001201,-0.001168,0.1208,0.0016,-0.0017,0.94,0.04,-0.04
K2-229 c,8.32727,0.00041,-0.00043,0.0769,0.0003,-0.0003,0.87,0.01,-0.01
K2-43 b,3.471149,0.000104,-0.000052,0.03784,0.00063,-0.00063,0.571,0.111,-0.055
K2-45 b,1.7292684,0.0000069,-0.0000069,0.0224,0.0012,-0.0012,0.503,0.078,-0.078
K2-80 c,5.605,0.0011,-0.0011,0.0596,0.0018,-0.0018,0.9,0.08,-0.08
K2-85 b,0.68453862616,0.00001,-0.00001,0.013,0.0,0.0,0.7,0.02,-0.02
KOI-142 b,10.91647,0.00014,-0.00014,0.09586,0.0008,-0.0008,0.99,0.023,-0.023
Kepler-1028 b,2.51462432,0.000004953,-0.000004953,0.0354,,,0.9,0.048,-0.061
Kepler-1042 b,10.13202575,0.00003028,-0.00003028,0.0756,,,0.75,0.041,-0.049
Kepler-110 b,12.691112,0.000036,-0.000036,0.107,,,0.989,0.029,-0.028
Kepler-1101 b,81.3151059,0.0005693,-0.0005693,0.3483,,,0.94,0.059,-0.061
Kepler-1105 b,4.421572182,0.00000977,-0.00000977,0.0471,,,0.71,0.022,-0.027
Kepler-1117 b,4.79028459,0.0000186,-0.0000186,0.05485,0.00032,-0.00032,0.95,0.044,-0.049
Kepler-114 b,5.188549,0.000012,-0.000012,0.053,,,0.77,0.02,-0.022
Kepler-1176 b,24.1738579,0.0001336,-0.0001336,0.1589,,,1.01,0.111,-0.084
Kepler-1245 b,4.35409304,0.00001933,-0.00001933,0.0484,,,0.86,0.041,-0.043
Kepler-1263 b,4.55139967,0.00002128,-0.00002128,0.0499,,,0.84,0.04,-0.045
Kepler-1291 b,8.63043276,0.00006731,-0.00006731,0.0779,,,0.84,0.043,-0.046
Kepler-1379 b,0.881841146,0.000003128,-0.000003128,0.0171,,,0.83,0.045,-0.048
Kepler-1388 b,12.2854603,0.00008795,-0.00008795,0.0882,,,0.63,0.021,-0.03
Kepler-1399 b,1.638653058,0.000008952,-0.000008952,0.0276,,,0.97,0.056,-0.058
Kepler-1416 b,1.49514952,0.00001069,-0.00001069,0.0257,,,1.09,0.195,-0.106
Kepler-1542 c,2.89223021,0.00001472,-0.00001472,0.0387,0.00028,-0.00028,0.94,0.032,-0.031
Kepler-1542 d,5.99273738,0.0000226,-0.0000226,0.0629,0.00045,-0.00045,0.94,0.032,-0.031
Kepler-1601 b,2.20921951,0.0000151,-0.0000151,0.03281,0.00037,-0.00037,1.04,0.065,-0.06
Kepler-1789 b,80.23190308,,,0.3543,,,0.92,0.046,-0.051
Kepler-1831 b,5.78387022,,,0.0655,,,1.117,0.13,-0.145
Kepler-187 b,4.938864,0.000058,-0.000058,0.059,,,1.081,0.063,-0.03
Kepler-203 c,5.370647,0.000008,-0.000008,0.061,,,1.06,0.022,-0.036
Kepler-304 c,5.315946,0.000007,-0.000007,0.054,,,0.737,0.005,-0.013
Kepler-304 e,1.499146953,0.000002797,-0.000002797,0.02317,0.0001,-0.0001,0.8,0.02,-0.026
Kepler-368 c,72.379334,0.00137,-0.00137,0.36,,,1.165,0.022,-0.018
Kepler-461 b,8.313783059,0.000007661,-0.000007661,0.07895,0.00072,-0.00072,0.98,0.023,-0.029
Kepler-576 b,29.91136794,0.00009909,-0.00009909,0.179,,,0.99,0.052,-0.055
Kepler-65 c,5.859944,0.000003,-0.000003,0.068,0.004,-0.002,1.25,0.06,-0.06
Kepler-723 b,4.082275068,0.00000023,-0.00000023,0.0479,,,0.92,0.043,-0.046
Kepler-768 b,11.3910025,0.00007499,-0.00007499,0.092,,,0.82,0.046,-0.048
Kepler-770 b,18.92540274,0.00005291,-0.00005291,0.1694,,,0.94,0.053,-0.057
Kepler-796 b,6.40087618,0.00002313,-0.00002313,0.07317,0.00045,-0.00045,0.93,0.04,-0.036
Kepler-937 b,67.668827,0.0005833,-0.0005833,0.3214,,,1.15,0.123,-0.081
Kepler-939 b,14.878296,0.0001256,-0.0001256,0.1153,,,0.88,0.057,-0.061
TrES-2 b,2.47063,0.00001,-0.00001,0.03568,0.00042,-0.00042,1.36,0.3,-0.3
WASP-24 b,2.34121,0.000002,-0.000002,0.03651,0.00028,-0.00028,1.43,0.5,-0.5
WASP-32 b,2.71866,0.000002,-0.000002,0.0394,0.0003,-0.0003,0.72,0.34,-0.34
