run_index,within_run_index,deflection,load
1,1,0.11019,150000
1,2,0.21956,300000
1,3,0.32949,450000
1,4,0.43899,600000
1,5,0.54803,750000
1,6,0.65694,900000
1,7,0.76562,1050000
1,8,0.87487,1200000
1,9,0.98292,1350000
1,10,1.09146,1500000
1,11,1.20001,1650000
1,12,1.30822,1800000
1,13,1.41599,1950000
1,14,1.52399,2100000
1,15,1.63194,2250000
1,16,1.73947,2400000
1,17,1.84646,2550000
1,18,1.95392,2700000
1,19,2.06128,2850000
1,20,2.16844,3000000
2,1,0.11052,150000
2,2,0.22018,300000
2,3,0.32939,450000
2,4,0.43886,600000
2,5,0.54798,750000
2,6,0.65739,900000
2,7,0.76596,1050000
2,8,0.87474,1200000
2,9,0.98300,1350000
2,10,1.09150,1500000
2,11,1.20004,1650000
2,12,1.30818,1800000
2,13,1.41613,1950000
2,14,1.52408,2100000
2,15,1.63159,2250000
2,16,1.73965,2400000
2,17,1.84696,2550000
2,18,1.95445,2700000
2,19,2.06177,2850000
2,20,2.16829,3000000
